,precision,recall,f1-score,support
0,0.597,0.92,0.724,50.0
1,0.714,0.6,0.652,50.0
2,0.944,0.34,0.5,50.0
3,0.0,0.0,0.0,50.0
4,0.933,0.28,0.431,50.0
5,0.0,0.0,0.0,50.0
6,1.0,0.22,0.361,50.0
7,0.745,0.7,0.722,50.0
8,0.964,0.54,0.692,50.0
9,0.794,1.0,0.885,50.0
10,0.0,0.0,0.0,50.0
11,0.205,0.76,0.323,50.0
12,0.465,0.66,0.545,50.0
13,0.917,0.66,0.767,50.0
14,0.677,0.42,0.519,50.0
15,1.0,0.22,0.361,50.0
16,0.708,0.68,0.694,50.0
17,0.625,0.4,0.488,50.0
18,1.0,0.28,0.438,50.0
19,0.435,1.0,0.606,50.0
20,0.83,0.78,0.804,50.0
21,0.16,0.26,0.198,50.0
22,0.459,1.0,0.629,50.0
23,0.511,0.48,0.495,50.0
24,1.0,0.04,0.077,50.0
25,0.862,0.5,0.633,50.0
26,0.345,0.82,0.485,50.0
27,1.0,0.02,0.039,50.0
28,0.5,0.32,0.39,50.0
29,0.375,0.12,0.182,50.0
30,0.917,0.66,0.767,50.0
31,0.314,0.66,0.426,50.0
32,0.8,0.08,0.145,50.0
33,0.926,0.5,0.649,50.0
34,0.161,0.88,0.272,50.0
35,0.638,0.6,0.619,50.0
36,0.967,0.58,0.725,50.0
accuracy,0.486,0.486,0.486,0.486
macro avg,0.635,0.486,0.466,1850.0
weighted avg,0.635,0.486,0.466,1850.0
