,precision,recall,f1-score,support
0,0.98,1.0,0.99,50.0
1,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,50.0
3,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,50.0
5,0.863,0.88,0.871,50.0
6,1.0,0.98,0.99,50.0
7,1.0,1.0,1.0,50.0
8,1.0,1.0,1.0,50.0
9,1.0,1.0,1.0,50.0
10,0.907,0.78,0.839,50.0
11,0.98,1.0,0.99,50.0
12,0.922,0.94,0.931,50.0
13,0.961,0.98,0.97,50.0
14,0.836,0.92,0.876,50.0
15,1.0,1.0,1.0,50.0
16,1.0,1.0,1.0,50.0
17,1.0,1.0,1.0,50.0
18,1.0,0.98,0.99,50.0
19,1.0,1.0,1.0,50.0
20,1.0,1.0,1.0,50.0
21,1.0,0.98,0.99,50.0
22,1.0,1.0,1.0,50.0
23,1.0,1.0,1.0,50.0
24,1.0,1.0,1.0,50.0
25,1.0,1.0,1.0,50.0
26,0.96,0.96,0.96,50.0
27,1.0,1.0,1.0,50.0
28,0.98,0.98,0.98,50.0
29,1.0,0.98,0.99,50.0
30,1.0,1.0,1.0,50.0
31,0.98,1.0,0.99,50.0
32,0.98,1.0,0.99,50.0
33,1.0,0.98,0.99,50.0
34,1.0,1.0,1.0,50.0
35,1.0,1.0,1.0,50.0
36,1.0,1.0,1.0,50.0
accuracy,0.982,0.982,0.982,0.982
macro avg,0.982,0.982,0.982,1850.0
weighted avg,0.982,0.982,0.982,1850.0
